Word,Gender,WdNum,ValMn,ValSd,AroMn,AroSD,DomMN,DomSD,Frequency
bus,Female,541,4.31,1.81,3.77,1.61,4.65,1.57,34
busybody,All,674,5.17,2.02,4.84,2.41,5.45,1.97,.
busybody,Male,674,4.81,1.21,4.29,1.93,4.57,1.6,.
busybody,Female,674,5.52,2.58,5.36,2.74,6.33,1.93,.
butter,All,57,5.33,1.2,3.17,1.84,4.67,1.69,27
butter,Male,57,5.4,0.97,3.3,1.77,4.5,1.08,27
butter,Female,57,5.31,1.29,3.12,1.9,4.73,1.89,27
butterfly,All,58,7.17,1.2,3.47,2.39,4.65,2.27,2
butterfly,Male,58,6.58,1.0,3.45,2.02,4.55,2.3,2
butterfly,Female,58,7.48,1.2,3.48,2.59,4.7,2.3,2
cabinet,All,675,5.05,0.31,3.43,1.85,4.73,1.66,17
cabinet,Male,675,5.1,0.31,3.45,1.7,4.7,1.81,17
cabinet,Female,675,5.0,0.31,3.57,1.91,4.76,1.55,17
cake,All,59,7.26,1.27,5.0,2.37,5.16,2.05,9
cake,Male,59,7.27,1.16,5.13,2.26,5.2,2.14,9
cake,Female,59,7.26,1.36,4.91,2.48,5.13,2.03,9
cancer,All,60,1.5,0.85,6.42,2.83,3.42,2.99,25
cancer,Male,60,1.75,0.97,6.83,2.37,3.33,3.06,25
cancer,Female,60,1.41,0.8,6.26,3.01,3.45,3.01,25
candy,All,61,6.54,2.09,4.58,2.4,5.33,1.91,16
candy,Male,61,6.0,1.34,4.1,2.27,5.0,1.84,16
candy,Female,61,6.96,2.47,4.96,2.47,5.58,1.96,16
cane,All,677,4.0,1.8,4.2,1.93,4.27,1.95,12
cane,Male,677,3.58,1.95,4.42,1.87,4.47,2.17,12
cane,Female,677,4.36,1.62,4.0,2.0,4.09,1.77,12
cannon,All,678,4.9,2.2,4.71,2.84,5.17,2.29,7
cannon,Male,678,5.71,2.39,5.14,2.85,5.48,2.4,7
